56,"Indian Institute of Engineering Science and Technology, Shibpur",Shibpur,West Bengal,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
57,"Motilal Nehru National Institute of Technology, Allahabad",Allahabad,Uttar Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
58,"Maulana Azad National Institute of Technology, Bhopal",Bhopal,Madhya Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
59,"National Institute of Technology, Calicut",Kozhikode,Kerala,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
60,"National Institute of Technology, Durgapur",Durgapur,West Bengal,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
61,"National Institute of Technology, Hamirpur",Hamirpur,Himachal Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
62,"Malaviya National Institute of Technology, Jaipur",Jaipur,Rajasthan,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
63,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
64,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
65,"National Institute of Technology, Kurukshetra",Kurukshetra,Haryana,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
66,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
67,"National Institute of Technology, Patna",Patna,Bihar,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
68,"National Institute of Technology, Rourkela",Rourkela,Odisha,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
69,"National Institute of Technology, Silchar",Silchar,Assam,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
70,"National Institute of Technology, Srinagar",Srinagar,Jammu and Kashmir,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
71,"National Institute of Technology, Uttarakhand",Srinagar,Uttarakhand,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
72,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,Gujarat,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
73,"National Institute of Technology, Karnataka",Surathkal,Karnataka,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
74,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
75,"National Institute of Technology, Warangal",Warangal,Telangana,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
76,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
77,"National Institute of Technology, Agartala",Agartala,Tripura,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
78,"National Institute of Technology, Goa",Farmagudi,Goa,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
79,"National Institute of Technology, Puducherry",Karaikal,Puducherry,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
80,"National Institute of Technology, Delhi",New Delhi,Delhi,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
81,"National Institute of Technology, Meghalaya",Shillong,Meghalaya,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
82,"National Institute of Technology, Mizoram",Aizawl,Mizoram,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
83,"National Institute of Technology, Manipur",Imphal,Manipur,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
84,"National Institute of Technology, Nagaland",Dimapur,Nagaland,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
85,"National Institute of Technology, Sikkim",Ravangla,Sikkim,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
86,"National Institute of Technology, Andhra Pradesh",Tadepalligudem,Andhra Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
87,"National Institute of Technology, Arunachal Pradesh",Yupia,Arunachal Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
88,Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
89,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
90,Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
91,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
92,Indian Institute of Technology Bombay,Mumbai,Maharashtra,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
93,Indian Institute of Technology Delhi,New Delhi,Delhi,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
94,Indian Institute of Technology Dharwad,Dharwad,Karnataka,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
95,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
96,Indian Institute of Technology Goa,Farmagudi,Goa,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
97,Indian Institute of Technology Guwahati,Guwahati,Assam,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
98,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
99,Indian Institute of Technology Indore,Indore,Madhya Pradesh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
100,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
101,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
102,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
103,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
104,Indian Institute of Technology Madras,Chennai,Tamil Nadu,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
105,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
106,Indian Institute of Technology Palakkad,Palakkad,Kerala,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
107,Indian Institute of Technology Patna,Patna,Bihar,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
108,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
109,Indian Institute of Technology Ropar,Ropar,Punjab,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
110,Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,"Institutes of Technology Act 1961�and its subsequent amendments",Ministry of Education
111,"School of Planning and Architecture, Bhopal",Bhopal,Madhya Pradesh,"School of Planning and Architecture Act 2014",Ministry of Education
112,"School of Planning and Architecture, Delhi",New Delhi,Delhi,"School of Planning and Architecture Act 2015",Ministry of Education
113,"School of Planning and Architecture, Vijayawada",Vijayawada,Andhra Pradesh,"School of Planning and Architecture Act 2016",Ministry of Education
114,University of Allahabad,Allahabad,Uttar Pradesh,"University of Allahabad Act 2005",Ministry of Education
115,Visva-Bharati University,Santiniketan,West Bengal,"Visva-Bharti Act 1951",Ministry of Education
116,Dakshina Bharat Hindi Prachar Sabha,Chennai,Tamil Nadu,"Dakshina Bharat Hindi Prachar Sabha Act 1964",Ministry of Education
117,"Academy Scientific and Innovative Research, Ghaziabad",Ghaziabad,Uttar Pradesh,"Academy Scientific and Innovative Research Act 2011 subsequent amendments",Ministry of Education
118,"All India Institute of Medical Sciences, Bathinda",Bathinda,Punjab,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
119,"All India Institute of Medical Sciences, Bhopal",Bhopal,Madhya Pradesh,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
120,"All India Institute of Medical Sciences, Bhubaneswar",Bhubaneswar,Odisha,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
121,"All India Institute of Medical Sciences, Bibinagar",Bibinagar,Telangana,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
122,"All India Institute of Medical Sciences, Deoghar",Deoghar,Jharkhand,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
123,"All India Institute of Medical Sciences, Gorakhpur",Gorakhpur,Uttar Pradesh,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
124,"All India Institute of Medical Sciences, Jodhpur",Jodhpur,Rajasthan,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
125,"All India Institute of Medical Sciences, Mangalagiri",Mangalagiri,Andhra Pradesh,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
126,"All India Institute of Medical Sciences, Nagpur",Nagpur,Maharashtra,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
127,"All India Institute of Medical Sciences, Kalyani",Kalyani,West Bengal,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
128,"All India Institute of Medical Sciences, New Delhi",New Delhi,Delhi,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
129,"All India Institute of Medical Sciences, Patna",Patna,Bihar,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
130,"All India Institute of Medical Sciences, Raebareli",Raebareli,Uttar Pradesh,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
131,"All India Institute of Medical Sciences, Raipur",Raipur,Chhattisgarh,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
132,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Uttarakhand,"All India Institute of Medical Sciences Act 1956' and its subsequent amendments",Ministry of Health & Family Welfare
133,Jawaharlal Institute of Postgraduate Medical Education and Research,Pondicherry,Puducherry,Jawaharlal Institute of Post-Graduate Medical Education and,Ministry of Health & Family Welfare
134,National Institute of Mental Health and Neurosciences,Bangalore,Karnataka,"National Institute of Mental Health and Neuro-Sciences,Bangalore Act 2012",Ministry of Health & Family Welfare
135,Postgraduate Institute of Medical Education and Research,Chandigarh,Chandigarh,"Post-Graduate Institute of Medical Education and Research,Chandigarh, Act 1966",Ministry of Health & Family Welfare
136,"National Institute of Pharmaceutical Education and Research,Ahmedabad",Ahmedabad,Gujarat,National Institute of Pharmaceutical Education and Research Act 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
137,"National Institute of Pharmaceutical Education and Research,Guwahati",Guwahati,Assam,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
138,"National Institute of Pharmaceutical Education and Research,Hajipur",Hajipur,Bihar,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
139,"National Institute of Pharmaceutical Education and Research,Hyderabad",Hyderabad,Telangana,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
140,"National Institute of Pharmaceutical Education and Research,Kolkata",Kolkata,West Bengal,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
141,"National Institute of Pharmaceutical Education and Research,Mohali",Mohali,Punjab,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
142,"National Institute of Pharmaceutical Education and Research,Raebareli",Raebareli,Uttar Pradesh,National Institute of Pharmaceutical Education and Research Act. 1998 and subsequent amendment,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers"
